"";"term";"estimate";"std.error";"statistic";"p.value"
"1";"(Intercept)";-0,0560984654358713;0,00439199028663197;-12,7729028924813;7,2022838657029e-35
"2";"merchantsAllmerchants_inclow";0,0269247882352941;0,00417610979875105;6,44733724274839;1,72134319580594e-10
"3";"merchantsAllmerchants_incmiddle";0,0153474859943978;0,00417610979875105;3,67506764285454;0,000249610177916415
"4";"post";-0,279306578354978;0,00414514876301361;-67,3815571704396;0
